 n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, radix_cmp, radix_swaps, radix_time
 0,             0,               0,              1,             0,               0,              1,         0,           0,          1,         0,           0,          0,         0,           0,          5
 1,             0,               0,              1,             0,               0,              2,         0,           0,          1,         0,           0,          0,         1,           0,          9
 2,             1,               0,              2,             1,               0,              3,         5,           2,          8,         1,           0,          4,         2,           0,         25
 3,             2,               0,              2,             3,               0,              3,         6,           2,          7,         2,           0,          9,         3,           0,         28
 4,             4,               1,              5,             6,               1,              5,        12,           5,         12,         4,           0,          8,         4,           0,         24
 5,             8,               5,             10,            10,               3,              8,        14,           7,         14,         7,           0,         10,         5,           0,         26
 6,            13,               9,             15,            15,               5,             11,        22,          11,         20,        10,           0,         13,         6,           0,         27
 7,            15,              10,             17,            21,               6,             14,        33,          14,         27,        13,           0,         16,         7,           0,         30
 8,            17,              11,             18,            28,               7,             17,        35,          15,         29,        15,           0,         18,         8,           0,         34
 9,            20,              13,             21,            36,               7,             20,        40,          15,         31,        17,           0,         21,         9,           0,         37
10,            21,              13,             23,            45,               7,             24,        49,          19,         38,        22,           0,         24,        10,           0,         40
